"PLS","variable","nfn","nfs","nac","initial","ssp3","ssp1"
"1","protected area",0.267631704058658,0.25820747173384,0.243101507263418,0.225899890065193,0.225899890065193,0.225899890065193
"10","protected area",0.195492142796866,0.202534960131743,0.195417962939246,0.186862900853157,0.186862900853157,0.186862900853157
"11","protected area",0.218513718689792,0.239792888969532,0.212840642183437,0.210371367633343,0.210371367633343,0.210371367633343
"12","protected area",0.420629285043105,0.412234045332298,0.513078400166705,0.341304704546928,0.341304704546928,0.341304704546928
"13","protected area",0.203682634959478,0.213357435681246,0.16472936860373,0.164290256798267,0.164290256798267,0.164290256798267
"14","protected area",0.368798318418385,0.352831460535526,0.352861221409739,0.352831460535526,0.352831460535526,0.352831460535526
"15","protected area",0.325999414548278,0.359748302551452,0.221560973324813,0.213339000940323,0.213339000940323,0.213339000940323
"16","protected area",0.39934977205121,0.362593140191166,0.357215181516949,0.355004236102104,0.355004236102104,0.355004236102104
"17","protected area",0.141093762853416,0.157708171929698,0.0984966004907619,0.0955346114933491,0.0955346114933491,0.0955346114933491
"18","protected area",0.373706144862808,0.383441373356618,0.42350280622486,0.299869224429131,0.299869224429131,0.299869224429131
"19","protected area",0.397412942751544,0.439803456974914,0.394893539749319,0.377233594655991,0.377233594655991,0.377233594655991
"2","protected area",0.217588697327301,0.237918969942257,0.147237424402192,0.147224027663469,0.147224027663469,0.147224027663469
"21","protected area",0.2635920351604,0.270507208653726,0.285938555491157,0.210106909275055,0.210106909275055,0.210106909275055
"22","protected area",0.232749230941408,0.330713887262391,0.176462797258864,0.175777614116669,0.175777614116669,0.175777614116669
"23","protected area",0.217678130003605,0.277443018170288,0.238193361135473,0.215164832770824,0.215164832770824,0.215164832770824
"24","protected area",0.382638436800335,0.374627140874509,0.373917940596584,0.306613206863403,0.306613206863403,0.306613206863403
"25","protected area",0.233562088590588,0.219097277982655,0.257756946277368,0.203669227659702,0.203669227659702,0.203669227659702
"3","protected area",0.21274929800893,0.249957919981171,0.271386264505054,0.206637930124998,0.206637930124998,0.206637930124998
"4","protected area",0.529197458177805,0.42144389078021,0.458401933312416,0.308732748031616,0.308732748031616,0.308732748031616
"5","protected area",0.31514953957867,0.351689626520056,0.308859187810413,0.303062871098518,0.303062871098518,0.303062871098518
"6","protected area",0.219149163836846,0.215401991299586,0.214016498444835,0.197627931833267,0.197627931833267,0.197627931833267
"7","protected area",0.407262756605633,0.434717895579524,0.46529577288311,0.36753935366869,0.36753935366869,0.36753935366869
"8","protected area",0.439718825786258,0.348240542341955,0.342056948968093,0.337779074907303,0.337779074907303,0.337779074907303
"9","protected area",0.338015226821881,0.379222219198709,0.331190309458179,0.328509762883186,0.328509762883186,0.328509762883186
"europe","protected area",0.317569448321592,0.325795356824528,0.323191199626308,0.275774925947189,0.275774925947189,0.275774925947189
